id,city_id,address,
360,58,"Lutherville Timonium, MD 21093","(360,58,'Lutherville Timonium, MD 21093'),"
86,48,"Arlington Heights, IL 60004","(86,48,'Arlington Heights, IL 60004'),"
344,46,913 N. Indian Summer Avenue,"(344,46,'913 N. Indian Summer Avenue'),"
333,109,"Fernandina Beach, FL 32034","(333,109,'Fernandina Beach, FL 32034'),"
301,101,"Wappingers Falls, NY 12590","(301,101,'Wappingers Falls, NY 12590'),"
32,63,"Clinton Township, MI 48035","(32,63,'Clinton Township, MI 48035'),"
101,15,8974 East Arlington Street,"(101,15,'8974 East Arlington Street'),"
21,142,79 North Pumpkin Hill St.,"(21,142,'79 North Pumpkin Hill St.'),"
140,122,"New Port Richey, FL 34653","(140,122,'New Port Richey, FL 34653'),"
41,88,7314 S. Westminster Drive,"(41,88,'7314 S. Westminster Drive'),"
25,7,520 South Peninsula Drive,"(25,7,'520 South Peninsula Drive'),"
136,138,"Council Bluffs, IA 51501","(136,138,'Council Bluffs, IA 51501'),"
255,137,"Virginia Beach, VA 23451","(255,137,'Virginia Beach, VA 23451'),"
69,87,878 SE. Evergreen Street,"(69,87,'878 SE. Evergreen Street'),"
214,57,"Kings Mountain, NC 28086","(214,57,'Kings Mountain, NC 28086'),"
62,40,"West Hempstead, NY 11552","(62,40,'West Hempstead, NY 11552'),"
60,19,"Stone Mountain, GA 30083","(60,19,'Stone Mountain, GA 30083'),"
36,138,"Michigan City, IN 46360","(36,138,'Michigan City, IN 46360'),"
364,135,"Basking Ridge, NJ 07920","(364,135,'Basking Ridge, NJ 07920'),"
110,119,"Scotch Plains, NJ 07076","(110,119,'Scotch Plains, NJ 07076'),"
178,116,"Copperas Cove, TX 76522","(178,116,'Copperas Cove, TX 76522'),"
243,113,"Cottage Grove, MN 55016","(243,113,'Cottage Grove, MN 55016'),"
226,105,9328 South Columbia Dr.,"(226,105,'9328 South Columbia Dr.'),"
33,99,36 Ketch Harbour Street,"(33,99,'36 Ketch Harbour Street'),"
152,98,"Ocean Springs, MS 39564","(152,98,'Ocean Springs, MS 39564'),"
190,84,"Fuquay Varina, NC 27526","(190,84,'Fuquay Varina, NC 27526'),"
317,67,"Milledgeville, GA 31061","(317,67,'Milledgeville, GA 31061'),"
84,55,"South Windsor, CT 06074","(84,55,'South Windsor, CT 06074'),"
4,38,"Benton Harbor, MI 49022","(4,38,'Benton Harbor, MI 49022'),"
310,25,7431 S. Illinois Street,"(310,25,'7431 S. Illinois Street'),"
274,18,8204 Sleepy Hollow Ave.,"(274,18,'8204 Sleepy Hollow Ave.'),"
82,11,"West Deptford, NJ 08096","(82,11,'West Deptford, NJ 08096'),"
38,149,"The Villages, FL 32162","(38,149,'The Villages, FL 32162'),"
146,135,"Kernersville, NC 27284","(146,135,'Kernersville, NC 27284'),"
47,133,8704 West Glenlake St.,"(47,133,'8704 West Glenlake St.'),"
312,129,8932 N. Richardson Dr.,"(312,129,'8932 N. Richardson Dr.'),"
223,127,"Ormond Beach, FL 32174","(223,127,'Ormond Beach, FL 32174'),"
188,119,"Mount Juliet, TN 37122","(188,119,'Mount Juliet, TN 37122'),"
2,117,"Temple Hills, MD 20748","(2,117,'Temple Hills, MD 20748'),"
250,115,1 West Chestnut Street,"(250,115,'1 West Chestnut Street'),"
224,114,9 N. St Margarets Ave.,"(224,114,'9 N. St Margarets Ave.'),"
28,110,"Hanover Park, IL 60133","(28,110,'Hanover Park, IL 60133'),"
241,105,"Olive Branch, MS 38654","(241,105,'Olive Branch, MS 38654'),"
326,94,523 Plumb Branch Drive,"(326,94,'523 Plumb Branch Drive'),"
239,93,"Madisonville, KY 42431","(239,93,'Madisonville, KY 42431'),"
211,87,48 Leeton Ridge Street,"(211,87,'48 Leeton Ridge Street'),"
9,82,9337 N. Hartford Drive,"(9,82,'9337 N. Hartford Drive'),"
275,82,"Marshalltown, IA 50158","(275,82,'Marshalltown, IA 50158'),"
315,77,"Lake Charles, LA 70605","(315,77,'Lake Charles, LA 70605'),"
122,75,"Mount Laurel, NJ 08054","(122,75,'Mount Laurel, NJ 08054'),"
68,74,"Lewis Center, OH 43035","(68,74,'Lewis Center, OH 43035'),"
265,71,"Murfreesboro, TN 37128","(265,71,'Murfreesboro, TN 37128'),"
230,68,909 SW. Edgewood Drive,"(230,68,'909 SW. Edgewood Drive'),"
222,65,378 Blue Spring Street,"(222,65,'378 Blue Spring Street'),"
272,53,143 Indian Spring Lane,"(272,53,'143 Indian Spring Lane'),"
359,45,7046 Ketch Harbour St.,"(359,45,'7046 Ketch Harbour St.'),"
262,39,255 South Sherman Lane,"(262,39,'255 South Sherman Lane'),"
155,37,26 East Oak Meadow St.,"(155,37,'26 East Oak Meadow St.'),"
15,35,96 East Hillside Court,"(15,35,'96 East Hillside Court'),"
85,33,8425 Mountainview Ave.,"(85,33,'8425 Mountainview Ave.'),"
107,25,8527 East Railroad Dr.,"(107,25,'8527 East Railroad Dr.'),"
266,19,8104 E. Pennington St.,"(266,19,'8104 E. Pennington St.'),"
142,12,"Douglasville, GA 30134","(142,12,'Douglasville, GA 30134'),"
144,11,"Carol Stream, IL 60188","(144,11,'Carol Stream, IL 60188'),"
48,7,"Delray Beach, FL 33445","(48,7,'Delray Beach, FL 33445'),"
13,148,7044 Smith Store Ave.,"(13,148,'7044 Smith Store Ave.'),"
163,139,73 W. Newbridge Drive,"(163,139,'73 W. Newbridge Drive'),"
75,137,281 West Spruce Drive,"(75,137,'281 West Spruce Drive'),"
91,121,8617 Blue Spring Ave.,"(91,121,'8617 Blue Spring Ave.'),"
54,114,"Mooresville, NC 28115","(54,114,'Mooresville, NC 28115'),"
118,114,"North Haven, CT 06473","(118,114,'North Haven, CT 06473'),"
98,98,"Noblesville, IN 46060","(98,98,'Noblesville, IN 46060'),"
246,85,107 Pennsylvania Ave.,"(246,85,'107 Pennsylvania Ave.'),"
313,83,"San Antonio, TX 78213","(313,83,'San Antonio, TX 78213'),"
174,53,"Hudsonville, MI 49426","(174,53,'Hudsonville, MI 49426'),"
184,40,"Westerville, OH 43081","(184,40,'Westerville, OH 43081'),"
83,27,8583 Roehampton Court,"(83,27,'8583 Roehampton Court'),"
123,25,65 Constitution Drive,"(123,25,'65 Constitution Drive'),"
191,20,8227 High Ridge Drive,"(191,20,'8227 High Ridge Drive'),"
7,19,8039 Henry Smith Ave.,"(7,19,'8039 Henry Smith Ave.'),"
232,19,8016 San Carlos Court,"(232,19,'8016 San Carlos Court'),"
305,17,"Goose Creek, SC 29445","(305,17,'Goose Creek, SC 29445'),"
278,16,7792 Smoky Hollow St.,"(278,16,'7792 Smoky Hollow St.'),"
176,13,"Port Orange, FL 32127","(176,13,'Port Orange, FL 32127'),"
166,12,"Catonsville, MD 21228","(166,12,'Catonsville, MD 21228'),"
280,6,47 NE. Rockland Drive,"(280,6,'47 NE. Rockland Drive'),"
16,145,"Mocksville, NC 27028","(16,145,'Mocksville, NC 27028'),"
43,145,7895 St Louis Street,"(43,145,'7895 St Louis Street'),"
321,144,"Hackensack, NJ 07601","(321,144,'Hackensack, NJ 07601'),"
261,142,"Mason City, IA 50401","(261,142,'Mason City, IA 50401'),"
367,136,604 Valley View Lane,"(367,136,'604 Valley View Lane'),"
196,135,"Farmington, MI 48331","(196,135,'Farmington, MI 48331'),"
8,134,"Bettendorf, IA 52722","(8,134,'Bettendorf, IA 52722'),"
352,130,"Greenville, NC 27834","(352,130,'Greenville, NC 27834'),"
289,124,"Logansport, IN 46947","(289,124,'Logansport, IN 46947'),"
251,111,"Vincentown, NJ 08088","(251,111,'Vincentown, NJ 08088'),"
189,106,993 Oak Valley Court,"(189,106,'993 Oak Valley Court'),"
17,101,9520 N. Roberts Ave.,"(17,101,'9520 N. Roberts Ave.'),"
270,99,9583 Kirkland Street,"(270,99,'9583 Kirkland Street'),"
92,89,"Warminster, PA 18974","(92,89,'Warminster, PA 18974'),"
276,78,653 Cherry Hill Road,"(276,78,'653 Cherry Hill Road'),"
335,76,"Trussville, AL 35173","(335,76,'Trussville, AL 35173'),"
164,73,"Enterprise, AL 36330","(164,73,'Enterprise, AL 36330'),"
194,63,"South Bend, IN 46614","(194,63,'South Bend, IN 46614'),"
109,58,8608 S. Bayberry St.,"(109,58,'8608 S. Bayberry St.'),"
149,55,7699 Winding Way St.,"(149,55,'7699 Winding Way St.'),"
10,53,"Fall River, MA 02720","(10,53,'Fall River, MA 02720'),"
318,47,8943 Rockville Drive,"(318,47,'8943 Rockville Drive'),"
135,44,9497 Rock Creek Lane,"(135,44,'9497 Rock Creek Lane'),"
254,41,951 High Noon Street,"(254,41,'951 High Noon Street'),"
212,37,"West Islip, NY 11795","(212,37,'West Islip, NY 11795'),"
24,26,"New Castle, PA 16101","(24,26,'New Castle, PA 16101'),"
108,22,"Nottingham, MD 21236","(108,22,'Nottingham, MD 21236'),"
159,22,7815 Pleasant Street,"(159,22,'7815 Pleasant Street'),"
66,21,"Louisville, KY 40207","(66,21,'Louisville, KY 40207'),"
198,20,"Fort Dodge, IA 50501","(198,20,'Fort Dodge, IA 50501'),"
79,17,95 Silver Spear Ave.,"(79,17,'95 Silver Spear Ave.'),"
295,17,"Prattville, AL 36067","(295,17,'Prattville, AL 36067'),"
138,16,"Pikesville, MD 21208","(138,16,'Pikesville, MD 21208'),"
173,13,9393 Rock Creek Ave.,"(173,13,'9393 Rock Creek Ave.'),"
182,13,"Des Moines, IA 50310","(182,13,'Des Moines, IA 50310'),"
341,9,"Richardson, TX 75080","(341,9,'Richardson, TX 75080'),"
249,8,"Germantown, MD 20874","(249,8,'Germantown, MD 20874'),"
96,6,"San Angelo, TX 76901","(96,6,'San Angelo, TX 76901'),"
114,6,"Fort Wayne, IN 46804","(114,6,'Fort Wayne, IN 46804'),"
257,2,"Huntsville, AL 35803","(257,2,'Huntsville, AL 35803'),"
97,144,8948 Carriage Court,"(97,144,'8948 Carriage Court'),"
160,144,"Gwynn Oak, MD 21207","(160,144,'Gwynn Oak, MD 21207'),"
78,143,"Green Bay, WI 54302","(78,143,'Green Bay, WI 54302'),"
130,136,"Avon Lake, OH 44012","(130,136,'Avon Lake, OH 44012'),"
18,127,"Mcdonough, GA 30252","(18,127,'Mcdonough, GA 30252'),"
197,115,473 Lawrence Street,"(197,115,'473 Lawrence Street'),"
325,112,"Milwaukee, WI 53204","(325,112,'Milwaukee, WI 53204'),"
366,112,"Riverview, FL 33569","(366,112,'Riverview, FL 33569'),"
161,111,30 Beaver Ridge Dr.,"(161,111,'30 Beaver Ridge Dr.'),"
347,109,"Kingsport, TN 37660","(347,109,'Kingsport, TN 37660'),"
258,107,966 N. Iroquois St.,"(258,107,'966 N. Iroquois St.'),"
221,104,"Fitchburg, MA 01420","(221,104,'Fitchburg, MA 01420'),"
297,104,"Jamestown, NY 14701","(297,104,'Jamestown, NY 14701'),"
252,103,792 Schoolhouse St.,"(252,103,'792 Schoolhouse St.'),"
46,100,"Asheville, NC 28803","(46,100,'Asheville, NC 28803'),"
351,100,245 Prospect Street,"(351,100,'245 Prospect Street'),"
70,91,"Morganton, NC 28655","(70,91,'Morganton, NC 28655'),"
117,91,41 Peninsula Street,"(117,91,'41 Peninsula Street'),"
74,87,"Elk River, MN 55330","(74,87,'Elk River, MN 55330'),"
340,85,7193 Briarwood Ave.,"(340,85,'7193 Briarwood Ave.'),"
19,78,9765 Livingston Rd.,"(19,78,'9765 Livingston Rd.'),"
115,76,5 S. Crescent Court,"(115,76,'5 S. Crescent Court'),"
245,76,"Stratford, CT 06614","(245,76,'Stratford, CT 06614'),"
235,72,"Barberton, OH 44203","(235,72,'Barberton, OH 44203'),"
291,71,"Pottstown, PA 19464","(291,71,'Pottstown, PA 19464'),"
104,68,"Cornelius, NC 28031","(104,68,'Cornelius, NC 28031'),"
209,65,965 Lake Forest Dr.,"(209,65,'965 Lake Forest Dr.'),"
287,64,"Irvington, NJ 07111","(287,64,'Irvington, NJ 07111'),"
363,64,525 Brickyard Drive,"(363,64,'525 Brickyard Drive'),"
6,63,"Davenport, IA 52804","(6,63,'Davenport, IA 52804'),"
193,62,122 Roehampton Road,"(193,62,'122 Roehampton Road'),"
156,61,"Woodhaven, NY 11421","(156,61,'Woodhaven, NY 11421'),"
227,52,"Pataskala, OH 43062","(227,52,'Pataskala, OH 43062'),"
72,47,"Woodstock, GA 30188","(72,47,'Woodstock, GA 30188'),"
186,46,"Pittsford, NY 14534","(186,46,'Pittsford, NY 14534'),"
175,45,62 Winding Way Ave.,"(175,45,'62 Winding Way Ave.'),"
105,43,7281 Peachtree Lane,"(105,43,'7281 Peachtree Lane'),"
247,42,"New Haven, CT 06511","(247,42,'New Haven, CT 06511'),"
279,39,"Naugatuck, CT 06770","(279,39,'Naugatuck, CT 06770'),"
170,37,"Royal Oak, MI 48067","(170,37,'Royal Oak, MI 48067'),"
26,31,"Maryville, TN 37803","(26,31,'Maryville, TN 37803'),"
210,27,"Stoughton, MA 02072","(210,27,'Stoughton, MA 02072'),"
277,26,"Horn Lake, MS 38637","(277,26,'Horn Lake, MS 38637'),"
327,8,"Goldsboro, NC 27530","(327,8,'Goldsboro, NC 27530'),"
281,7,"Hempstead, NY 11550","(281,7,'Hempstead, NY 11550'),"
296,5,37 North Lilac Ave.,"(296,5,'37 North Lilac Ave.'),"
271,145,"Delaware, OH 43015","(271,145,'Delaware, OH 43015'),"
61,144,52 Pineknoll Drive,"(61,144,'52 Pineknoll Drive'),"
225,141,"Columbia, MD 21044","(225,141,'Columbia, MD 21044'),"
354,141,"Brainerd, MN 56401","(354,141,'Brainerd, MN 56401'),"
81,139,8913 Linden Street,"(81,139,'8913 Linden Street'),"
283,138,"Marietta, GA 30008","(283,138,'Marietta, GA 30008'),"
309,135,"Bethesda, MD 20814","(309,135,'Bethesda, MD 20814'),"
355,134,19 Blue Spring St.,"(355,134,'19 Blue Spring St.'),"
303,131,"Pasadena, MD 21122","(303,131,'Pasadena, MD 21122'),"
116,126,"Columbus, GA 31904","(116,126,'Columbus, GA 31904'),"
162,125,"Bensalem, PA 19020","(162,125,'Bensalem, PA 19020'),"
20,113,"Hartford, CT 06106","(20,113,'Hartford, CT 06106'),"
319,113,"Cranford, NJ 07016","(319,113,'Cranford, NJ 07016'),"
216,110,"Wilmette, IL 60091","(216,110,'Wilmette, IL 60091'),"
187,109,7946 Harvey Avenue,"(187,109,'7946 Harvey Avenue'),"
302,98,55 Old Church Ave.,"(302,98,'55 Old Church Ave.'),"
234,90,804 Halifax Street,"(234,90,'804 Halifax Street'),"
129,88,9653 Summer Street,"(129,88,'9653 Summer Street'),"
100,86,"Randolph, MA 02368","(100,86,'Randolph, MA 02368'),"
357,79,70 Westminster Dr.,"(357,79,'70 Westminster Dr.'),"
185,74,909 E. Boston Ave.,"(185,74,'909 E. Boston Ave.'),"
269,70,"Victoria, TX 77904","(269,70,'Victoria, TX 77904'),"
206,65,"Fairborn, OH 45324","(206,65,'Fairborn, OH 45324'),"
11,62,387 Poor House St.,"(11,62,'387 Poor House St.'),"
131,60,235 Andover Avenue,"(131,60,'235 Andover Avenue'),"
147,60,8934 Jennings Road,"(147,60,'8934 Jennings Road'),"
199,58,158 Newbridge Lane,"(199,58,'158 Newbridge Lane'),"
168,57,"Sylvania, OH 43560","(168,57,'Sylvania, OH 43560'),"
90,46,"Suitland, MD 20746","(90,46,'Suitland, MD 20746'),"
71,44,873 Vermont Street,"(71,44,'873 Vermont Street'),"
201,44,9 Rock Maple Court,"(201,44,'9 Rock Maple Court'),"
121,42,7075 Rockwell Ave.,"(121,42,'7075 Rockwell Ave.'),"
57,38,7992 S. Manor Road,"(57,38,'7992 S. Manor Road'),"
64,32,"Tualatin, OR 97062","(64,32,'Tualatin, OR 97062'),"
192,29,"Palm Bay, FL 32907","(192,29,'Palm Bay, FL 32907'),"
1,26,7120 Glenlake Road,"(1,26,'7120 Glenlake Road'),"
343,24,"Muskogee, OK 74403","(343,24,'Muskogee, OK 74403'),"
267,21,"Yorktown, VA 23693","(267,21,'Yorktown, VA 23693'),"
219,19,8530 Pheasant Lane,"(219,19,'8530 Pheasant Lane'),"
77,17,88 Atlantic Circle,"(77,17,'88 Atlantic Circle'),"
273,15,"Voorhees, NJ 08043","(273,15,'Voorhees, NJ 08043'),"
58,9,"Piedmont, SC 29673","(58,9,'Piedmont, SC 29673'),"
237,3,"Clemmons, NC 27012","(237,3,'Clemmons, NC 27012'),"
316,143,65 Inverness Ave.,"(316,143,'65 Inverness Ave.'),"
337,140,"Bedford, OH 44146","(337,140,'Bedford, OH 44146'),"
139,137,8971 E. North Rd.,"(139,137,'8971 E. North Rd.'),"
177,137,269 Gainsway Lane,"(177,137,'269 Gainsway Lane'),"
200,133,"Warwick, RI 02886","(200,133,'Warwick, RI 02886'),"
372,131,"Bristow, VA 20136","(372,131,'Bristow, VA 20136'),"
208,127,"Antioch, TN 37013","(208,127,'Antioch, TN 37013'),"
143,121,49 S. Cross Drive,"(143,121,'49 S. Cross Drive'),"
259,121,"Bozeman, MT 59715","(259,121,'Bozeman, MT 59715'),"
67,120,18 La Sierra Lane,"(67,120,'18 La Sierra Lane'),"
95,120,64 East North Dr.,"(95,120,'64 East North Dr.'),"
179,119,7069 Bohemia Lane,"(179,119,'7069 Bohemia Lane'),"
52,116,"Norwich, CT 06360","(52,116,'Norwich, CT 06360'),"
80,115,"Beverly, MA 01915","(80,115,'Beverly, MA 01915'),"
368,113,"Webster, NY 14580","(368,113,'Webster, NY 14580'),"
339,110,"Sulphur, LA 70663","(339,110,'Sulphur, LA 70663'),"
253,108,"Brandon, FL 33510","(253,108,'Brandon, FL 33510'),"
34,95,"Milford, MA 01757","(34,95,'Milford, MA 01757'),"
151,92,31 Shub Farm Ave.,"(151,92,'31 Shub Farm Ave.'),"
158,91,"Seymour, IN 47274","(158,91,'Seymour, IN 47274'),"
292,90,93 NW. Canal Road,"(292,90,'93 NW. Canal Road'),"
44,89,"Maspeth, NY 11378","(44,89,'Maspeth, NY 11378'),"
14,84,"Norfolk, VA 23503","(14,84,'Norfolk, VA 23503'),"
124,80,"Mc Lean, VA 22101","(124,80,'Mc Lean, VA 22101'),"
290,77,7649 South Street,"(290,77,'7649 South Street'),"
307,77,"Decatur, GA 30030","(307,77,'Decatur, GA 30030'),"
231,62,"Hamburg, NY 14075","(231,62,'Hamburg, NY 14075'),"
284,62,45 Windsor Street,"(284,62,'45 Windsor Street'),"
353,61,805 Pulaski Drive,"(353,61,'805 Pulaski Drive'),"
229,60,"Banning, CA 92220","(229,60,'Banning, CA 92220'),"
53,49,600 Philmont Lane,"(53,49,'600 Philmont Lane'),"
134,48,"Medford, MA 02155","(134,48,'Medford, MA 02155'),"
31,46,8517 Proctor Lane,"(31,46,'8517 Proctor Lane'),"
323,45,"Raleigh, NC 27603","(323,45,'Raleigh, NC 27603'),"
202,44,"Roselle, IL 60172","(202,44,'Roselle, IL 60172'),"
285,36,"De Pere, WI 54115","(285,36,'De Pere, WI 54115'),"
334,36,935B Bohemia Ave.,"(334,36,'935B Bohemia Ave.'),"
180,34,"Mchenry, IL 60050","(180,34,'Mchenry, IL 60050'),"
55,26,366 Thorne Street,"(55,26,'366 Thorne Street'),"
298,23,451 Willow Street,"(298,23,'451 Willow Street'),"
240,22,7073 Amerige Ave.,"(240,22,'7073 Amerige Ave.'),"
350,21,"Chardon, OH 44024","(350,21,'Chardon, OH 44024'),"
128,17,"Odenton, MD 21113","(128,17,'Odenton, MD 21113'),"
150,17,"Peabody, MA 01960","(150,17,'Peabody, MA 01960'),"
42,14,"Hoboken, NJ 07030","(42,14,'Hoboken, NJ 07030'),"
169,14,8703 Mayfield St.,"(169,14,'8703 Mayfield St.'),"
370,11,"Orlando, FL 32806","(370,11,'Orlando, FL 32806'),"
260,10,7287 Rockwell St.,"(260,10,'7287 Rockwell St.'),"
361,9,7190 Sherman Ave.,"(361,9,'7190 Sherman Ave.'),"
56,8,"Paducah, KY 42001","(56,8,'Paducah, KY 42001'),"
263,1,"Concord, NH 03301","(263,1,'Concord, NH 03301'),"
5,148,683 Pacific Ave.,"(5,148,'683 Pacific Ave.'),"
23,141,8666 Harvard Dr.,"(23,141,'8666 Harvard Dr.'),"
322,139,99 Thatcher Ave.,"(322,139,'99 Thatcher Ave.'),"
88,135,"Canton, GA 30114","(88,135,'Canton, GA 30114'),"
102,132,"Clover, SC 29710","(102,132,'Clover, SC 29710'),"
345,132,"Tupelo, MS 38801","(345,132,'Tupelo, MS 38801'),"
37,131,768 Galvin Drive,"(37,131,'768 Galvin Drive'),"
30,126,"Lowell, MA 01851","(30,126,'Lowell, MA 01851'),"
362,120,"Revere, MA 02151","(362,120,'Revere, MA 02151'),"
371,116,7857 E. Ohio St.,"(371,116,'7857 E. Ohio St.'),"
248,112,9387 Locust Ave.,"(248,112,'9387 Locust Ave.'),"
293,106,"Nanuet, NY 10954","(293,106,'Nanuet, NY 10954'),"
89,102,8483 Mayfair St.,"(89,102,'8483 Mayfair St.'),"
154,98,"Orange, NJ 07050","(154,98,'Orange, NJ 07050'),"
133,93,539 Queen Circle,"(133,93,'539 Queen Circle'),"
167,85,8966 53rd Street,"(167,85,'8966 53rd Street'),"
40,83,"Athens, GA 30605","(40,83,'Athens, GA 30605'),"
338,80,973 Woodsman St.,"(338,80,'973 Woodsman St.'),"
320,71,7375 Redwood St.,"(320,71,'7375 Redwood St.'),"
12,70,"Parlin, NJ 08859","(12,70,'Parlin, NJ 08859'),"
99,67,7 Rockaway Court,"(99,67,'7 Rockaway Court'),"
137,66,706 Amerige Ave.,"(137,66,'706 Amerige Ave.'),"
256,66,8 Gainsway Drive,"(256,66,'8 Gainsway Drive'),"
94,59,"Durham, NC 27703","(94,59,'Durham, NC 27703'),"
242,56,9435 County Ave.,"(242,56,'9435 County Ave.'),"
172,54,"Kokomo, IN 46901","(172,54,'Kokomo, IN 46901'),"
365,52,883 Orchard Ave.,"(365,52,'883 Orchard Ave.'),"
356,50,"Powell, TN 37849","(356,50,'Powell, TN 37849'),"
205,44,747 Pilgrim Ave.,"(205,44,'747 Pilgrim Ave.'),"
63,43,91 Edgewater St.,"(63,43,'91 Edgewater St.'),"
331,43,"Winona, MN 55987","(331,43,'Winona, MN 55987'),"
141,41,137 Proctor Lane,"(141,41,'137 Proctor Lane'),"
306,38,23 Meadow Street,"(306,38,'23 Meadow Street'),"
213,34,806 Bellevue St.,"(213,34,'806 Bellevue St.'),"
27,31,72 Mayfair Court,"(27,31,'72 Mayfair Court'),"
76,30,"Nutley, NJ 07110","(76,30,'Nutley, NJ 07110'),"
299,25,"Duarte, CA 91010","(299,25,'Duarte, CA 91010'),"
93,21,121 Hickory Lane,"(93,21,'121 Hickory Lane'),"
218,16,"Severn, MD 21144","(218,16,'Severn, MD 21144'),"
288,15,58 Market Avenue,"(288,15,'58 Market Avenue'),"
304,11,88 Sierra Street,"(304,11,'88 Sierra Street'),"
106,10,"Hollis, NY 11423","(106,10,'Hollis, NY 11423'),"
50,8,"Forney, TX 75126","(50,8,'Forney, TX 75126'),"
204,7,"Maumee, OH 43537","(204,7,'Maumee, OH 43537'),"
203,6,606 Bellevue St.,"(203,6,'606 Bellevue St.'),"
330,3,9430 Linden Lane,"(330,3,'9430 Linden Lane'),"
286,141,146 Acacia Lane,"(286,141,'146 Acacia Lane'),"
148,128,"Osseo, MN 55311","(148,128,'Osseo, MN 55311'),"
373,116,14 Plymouth Dr.,"(373,116,'14 Plymouth Dr.'),"
153,113,995 Harvard St.,"(153,113,'995 Harvard St.'),"
342,106,78 Queen Street,"(342,106,'78 Queen Street'),"
332,102,286 Halifax St.,"(332,102,'286 Halifax St.'),"
346,102,75 Garfield St.,"(346,102,'75 Garfield St.'),"
157,92,8494 Pearl Ave.,"(157,92,'8494 Pearl Ave.'),"
113,88,73 Dunbar Drive,"(113,88,'73 Dunbar Drive'),"
22,85,"Depew, NY 14043","(22,85,'Depew, NY 14043'),"
314,85,11 Bellevue St.,"(314,85,'11 Bellevue St.'),"
119,71,8527 Second Dr.,"(119,71,'8527 Second Dr.'),"
233,70,"Miami, FL 33125","(233,70,'Miami, FL 33125'),"
171,59,575 Brewery St.,"(171,59,'575 Brewery St.'),"
329,23,"Burke, VA 22015","(329,23,'Burke, VA 22015'),"
300,18,19 Lawrence St.,"(300,18,'19 Lawrence St.'),"
49,15,388 Pulaski Dr.,"(49,15,'388 Pulaski Dr.'),"
311,9,"Wayne, NJ 07470","(311,9,'Wayne, NJ 07470'),"
29,7,503 Arch Street,"(29,7,'503 Arch Street'),"
65,5,9961 Vale Court,"(65,5,'9961 Vale Court'),"
358,5,"Ogden, UT 84404","(358,5,'Ogden, UT 84404'),"
236,145,421 Bridge Dr.,"(236,145,'421 Bridge Dr.'),"
238,126,8556 John Lane,"(238,126,'8556 John Lane'),"
45,118,875 Oxford Rd.,"(45,118,'875 Oxford Rd.'),"
127,118,7 Overlook St.,"(127,118,'7 Overlook St.'),"
132,116,"Ames, IA 50010","(132,116,'Ames, IA 50010'),"
207,76,8643 Logan St.,"(207,76,'8643 Logan St.'),"
103,70,23 Pawnee Ave.,"(103,70,'23 Pawnee Ave.'),"
125,61,24 Amerige Rd.,"(125,61,'24 Amerige Rd.'),"
3,52,894 Summer St.,"(3,52,'894 Summer St.'),"
120,37,"Troy, NY 12180","(120,37,'Troy, NY 12180'),"
181,16,7132 Young Dr.,"(181,16,'7132 Young Dr.'),"
294,16,61 Brook Drive,"(294,16,'61 Brook Drive'),"
87,144,233 Jones St.,"(87,144,'233 Jones St.'),"
336,120,810 John Road,"(336,120,'810 John Road'),"
328,118,133 Devon St.,"(328,118,'133 Devon St.'),"
112,117,"Ada, OK 74820","(112,117,'Ada, OK 74820'),"
126,112,"Roy, UT 84067","(126,112,'Roy, UT 84067'),"
35,102,12 Pierce St.,"(35,102,'12 Pierce St.'),"
324,100,7810 Elm Ave.,"(324,100,'7810 Elm Ave.'),"
215,73,429 Essex Rd.,"(215,73,'429 Essex Rd.'),"
348,63,80 Sunset Rd.,"(348,63,'80 Sunset Rd.'),"
51,33,195 South St.,"(51,33,'195 South St.'),"
244,31,66 Locust St.,"(244,31,'66 Locust St.'),"
73,15,3 Cooper Ave.,"(73,15,'3 Cooper Ave.'),"
217,10,43 Clark Road,"(217,10,'43 Clark Road'),"
369,1,71 South Lane,"(369,1,'71 South Lane'),"
145,90,42 Green Rd.,"(145,90,'42 Green Rd.'),"
183,67,36 4th Court,"(183,67,'36 4th Court'),"
195,54,486 Ann Ave.,"(195,54,'486 Ann Ave.'),"
59,26,71 Queen Rd.,"(59,26,'71 Queen Rd.'),"
228,24,88 Elm Court,"(228,24,'88 Elm Court'),"
282,19,154 Sage St.,"(282,19,'154 Sage St.'),"
264,14,9 Taylor St.,"(264,14,'9 Taylor St.'),"
111,3,601 Wood St.,"(111,3,'601 Wood St.'),"
308,83,25 4th Ave.,"(308,83,'25 4th Ave.'),"
268,71,79 Rose St.,"(268,71,'79 Rose St.'),"
39,1,41 4th Ave.,"(39,1,'41 4th Ave.'),"
165,117,8 1st Ave.,"(165,117,'8 1st Ave.'),"
220,110,Unit J,"(220,110,'Unit J'),"
349,99,Apt 1,"(349,99,'Apt 1'),"
